ROW_NAMES,Halo_ARID4A_REPLICATE_dS_AVG,Halo_ARID4B_REPLICATE_dS_AVG,Halo_BRMS1_REPLICATE_dS_AVG,Halo_BRMS1L_REPLICATE_dS_AVG,Halo_GATAD1_REPLICATE_dS_AVG,HDAC1.Halo_REPLICATE_dS_AVG,HDAC2_Halo_REPLICATE_dS_AVG,Halo_ING1_REPLICATE_dS_AVG,Halo_ING2_REPLICATE_dS_AVG,MORF4L1_Halo_REPLICATE_dS_AVG,Halo_PHF12_REPLICATE_dS_AVG,Halo_RBBP4_REPLICATE_dS_AVG,Halo_SAP30_REPLICATE_dS_AVG,Halo_SAP30L_REPLICATE_dS_AVG,Halo_SAP130_REPLICATE_dS_AVG,SIN3A_Halo_REPLICATE_dS_AVG,SIN3B_2_Halo_REPLICATE_dS_AVG,Halo_SUDS3_REPLICATE_dS_AVG,complex
HIST3H2BB,-1.07976,-1.699752,-1.020939,-1.253614,0.8811923,4.591296,34.93566,-0.4315176,-1.059758,-1.645796,4.683755,1.715924,-1.11024,-2.752486,-0.4018976,-0.1262359,-2.836463,-1.04673,0
CALU,9.292833,2.759883,21.43858,19.218,-0.539605,-3.163566,-2.782606,-1.24342,1.841903,-1.254903,0,-0.8696244,0.3724527,-0.9269328,-1.784909,-1.631659,-2.167596,1.179598,0
KPNA2,-1.646845,-1.758946,-1.238203,-1.630958,-0.6864551,-6.513004,-5.280771,-1.479436,-0.959568,35.0213,-0.3517267,1.581253,-0.7048172,-4.021212,-2.389332,-1.649135,116.6492,1.424385,0
HIST1H2AC,-0.6322067,-0.5000936,-0.2539671,0.1106462,4.38748,-2.678088,-1.893356,-0.2750683,0.8457012,-0.7177191,26.94148,6.301037,-0.5421611,-1.446284,4.806706,-0.8206717,-1.555898,-0.4683666,0
FOXK1,0,-0.671565,0.2830512,-0.8501677,0,-2.266382,-0.8629168,18.90257,0,0,0,0,6.15506,2.443098,-1.646095,-0.1633135,-1.49517,33.34755,0
HSPA4,-1.40735,3.664197,-0.8281094,0.03465504,0.8133874,-2.018013,0,-1.176497,3.85943,-1.819624,-0.1053039,3.449007,-1.341359,-1.475737,128.3523,-2.509064,0,-0.7808135,0
KPNB1,-0.993238,-1.174748,-0.7648669,-0.9011155,3.248343,-3.331136,-0.8863499,-1.304833,0.980995,0,-0.5707474,3.903891,-0.8799559,-2.302137,-2.218541,0,90.69298,0.323485,0
KPNA3,-0.8606629,-1.363058,-0.7464773,-0.9359496,0.4896708,-3.137723,-2.799653,0,-0.9288041,3.873055,-0.4855966,1.937193,-0.7726019,-2.210537,-2.118945,-1.725297,78.8244,-0.8666187,0
ANXA2,-0.4180866,-0.5370893,0,0.2325006,0.02091714,0,0,-0.5049023,7.121186,0,2.185406,0.219358,-0.2422969,1.924891,-0.8015212,0,-0.625683,35.61054,0
TROVE2,0,0,0,-0.5807307,13.21091,-2.352842,-1.177182,-0.6223437,1.051462,-0.6036248,46.39385,6.361346,-0.5065401,-0.7431467,0,-0.7071932,1.297924,-0.3616347,0
