Gene Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue
DDX49,11.58250175,0.877644536,0.303723652,2.889615381,0.003857134
IL6,9.110858669,1.072682572,0.37126842,2.889237314,0.003861775
ZZZ3,14.82994204,1.072724904,0.37148107,2.887697358,0.003880731
AC013549.3,17.875883,0.830572861,0.287629334,2.887650049,0.003881314
COX6B1P5,5.278925179,-0.983393489,0.340998936,-2.883860869,0.003928323
HBS1L,26.57943714,0.7420299,0.257982962,2.876274834,0.004023992
RPL6P6,123.9084081,-0.407904194,0.141818928,-2.87623239,0.004024533
AC046158.1,16.42380548,0.623733128,0.216937369,2.875176043,0.004038023
AL109946.1,44.17131928,0.463966138,0.161449715,2.873750119,0.004056298
AL136116.2,4.452976507,1.251028114,0.437511369,2.859418523,0.004244184
TTBK1,5.732670148,1.219543522,0.42710108,2.855397892,0.004298294
MPHOSPH6P1,13.615242,0.681955309,0.238991422,2.85347191,0.004324435
FRMD6-AS1,6.808733708,-1.048393548,0.367461025,-2.853074137,0.004329852
UHRF1,12.64779617,-0.599209539,0.210270271,-2.84971116,0.004375895
IER3-AS1,18.2232408,-0.977719819,0.34326966,-2.848255853,0.004395957
NACAD,4.596780505,-2.86885219,1.007973776,-2.846157567,0.004425029
AL157712.1,17.21588532,0.731459376,0.257107912,2.844950862,0.004441827
MLEC,6.136118602,1.873619407,0.659958841,2.838994326,0.004525596
AC099778.1,7.09406149,-0.927399786,0.327614461,-2.830765725,0.004643672
AC092111.1,10.86746019,0.791768923,0.279832101,2.829442797,0.004662913
C1QA,1.586826164,-2.061697981,0.730277444,-2.823170836,0.004755123
POLR2B,70.30811068,-0.681938871,0.241692118,-2.821518868,0.004779683
AL355103.1,27.20430696,0.604368948,0.214567591,2.816683291,0.004852235
EIF2D,12.1453529,0.929408043,0.330025172,2.816173199,0.004859946
AC010323.2,1.156022393,2.788870622,0.991144233,2.813788881,0.004896137
AC009961.3,1.843057217,-1.723499333,0.612970524,-2.811716494,0.004927792
AP001469.3,77.08212231,-0.290252887,0.103271407,-2.810583258,0.004945179
BX005266.3,1.654584479,2.243679616,0.798983088,2.808169095,0.004982406
LINC02747,1.205467093,-2.266664986,0.807445154,-2.807206132,0.004997325
AP000641.1,2.155676291,1.936467921,0.68996834,2.806604027,0.005006674
AL023754.1,7.363057126,-0.8913253,0.317621817,-2.806247093,0.005012224
LMBRD2,10.33384677,2.284620811,0.814174127,2.806059214,0.005015148
NSUN5,4.183312786,1.368843613,0.487848123,2.805880656,0.005017927
MBNL1-AS1,112.7026688,-0.456087136,0.162807971,-2.801380871,0.005088442
SCNN1B,1.446603443,-3.475326833,1.241156006,-2.800072526,0.005109113
FBP1,2.685391033,-1.276658964,0.455939366,-2.800063033,0.005109263
AC018523.1,1.496078839,-2.063585146,0.73722148,-2.799138661,0.005123913
LINC00974,0.850446271,-3.117260034,1.113706141,-2.798996898,0.005126163
TYRP1,9.881944858,1.501876785,0.536959982,2.796999467,0.005157962
RASSF3,1.196030281,2.649359663,0.947587838,2.79589876,0.005175561
DSTYK,30.53410955,0.597908873,0.213862378,2.795764638,0.005177709
ARF4,59.31919859,-0.688079235,0.246360358,-2.792978711,0.005222513
MAP3K14,2.010957518,-2.890998881,1.035098981,-2.792968532,0.005222677
FAR2P3,19.81639552,1.798281258,0.643964593,2.792515732,0.005229992
PRICKLE2,139.3649957,0.443309656,0.158926471,2.789400999,0.005280564
LINC00868,12.26369426,-0.746703693,0.267954492,-2.786680999,0.005325087
ADNP2,12.78077359,2.315452783,0.831177894,2.785748754,0.005340425
UNK,6.983711782,1.189795982,0.427145584,2.78545776,0.00534522
NBAT1,80.25939967,-0.521051696,0.187075224,-2.78525229,0.005348609
MITF,31.37025651,0.579865143,0.208573267,2.780150834,0.005433366
AD000864.1,10.39832168,-0.721893873,0.259969863,-2.776836762,0.005489074
SMAD4,27.33295629,0.890934974,0.321200182,2.773768584,0.005541108
