"","ROW_NAMES","Halo_ARID4A_REPLICATE_dS_AVG","Halo_ARID4B_REPLICATE_dS_AVG","Halo_BRMS1_REPLICATE_dS_AVG","Halo_BRMS1L_REPLICATE_dS_AVG","Halo_GATAD1_REPLICATE_dS_AVG","HDAC1.Halo_REPLICATE_dS_AVG","HDAC2_Halo_REPLICATE_dS_AVG","Halo_ING1_REPLICATE_dS_AVG","Halo_ING2_REPLICATE_dS_AVG","MORF4L1_Halo_REPLICATE_dS_AVG","Halo_PHF12_REPLICATE_dS_AVG","Halo_RBBP4_REPLICATE_dS_AVG","Halo_SAP30_REPLICATE_dS_AVG","Halo_SAP30L_REPLICATE_dS_AVG","Halo_SAP130_REPLICATE_dS_AVG","SIN3A_Halo_REPLICATE_dS_AVG","SIN3B_2_Halo_REPLICATE_dS_AVG","Halo_SUDS3_REPLICATE_dS_AVG"
"81","ARID5B",0,0,0,0,0,95.81339,70.13124,0,0,0,0,0,0,0,0,0,0,0
"82","RREB1",0,0,0,0,0,104.7568,72.8225,0,0,0,0,0,0,0,0,0,0,0
"83","MGA",0,0,0,0,0,70.17488,83.80261,0,-0.3646131,0,0,0,0,0,0,0,0,0
"84","EPPK1",19.2511,-0.9945705,0,0,0,0,0,0,-0.4521214,0,-0.4217299,-0.9005396,0,0,72.28043,-0.9087835,0,7.10155
"85","HSPA1A",143.3203,52.70627,-30.07186,-50.70483,-45.59339,-470.6467,-287.754,-114.8894,327.2484,-86.50362,-10.06614,17.2503,-26.84649,-139.1038,5558.398,-188.1047,-297.649,50.04667
"86","HSPA9",-10.74431,-28.90723,-13.66823,8.067707,-2.667991,-126.0734,-83.76153,-30.44513,14.07563,-36.36586,18.9663,-24.27827,-26.59659,-72.41119,2435.34,-52.17014,-57.77438,-15.753
"87","TUBB4B",-3.993022,-5.944246,3.895274,-3.717824,-2.710107,-18.50073,-14.65626,-0.4898194,-1.94469,-3.030278,-2.881237,-5.763087,9.840797,167.5549,45.51333,-8.419106,-12.36086,-3.809856
"88","TUBA4A",-4.531058,-4.359451,6.50756,-3.952737,4.831451,-18.31829,11.26521,-2.985886,-2.750944,1.210986,25.00974,0.2033387,-0.2523594,-5.875979,70.98452,1.381426,-11.42964,-3.952007
"89","TUBA8",-1.605824,-1.843028,-1.233387,-1.44709,3.470781,-6.82998,-5.204154,-0.00537775,-1.530613,2.834767,8.598587,3.554913,-0.8974391,-3.773402,55.59392,6.261124,-4.289107,-1.311962
"90","KPNA2",-1.646845,-1.758946,-1.238203,-1.630958,-0.6864551,-6.513004,-5.280771,-1.479436,-0.959568,35.0213,-0.3517267,1.581253,-0.7048172,-4.021212,-2.389332,-1.649135,116.6492,1.424385
